entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_NB,PTPD_Puestos_M
Oaxaca,subdel,Entre 20 y 25 años,202510,3294,3001,293,0,155,151,0,4
Oaxaca,subdel,Entre 25 y 30 años,202510,4181,3807,374,0,364,349,0,15
Oaxaca,subdel,Entre 30 y 35 años,202510,3649,3306,343,0,384,351,0,33
Oaxaca,subdel,Entre 35 y 40 años,202510,2650,2367,283,0,318,296,0,22
Oaxaca,subdel,Entre 40 y 45 años,202510,1916,1770,146,0,302,287,0,15
Oaxaca,subdel,Entre 45 y 50 años,202510,1371,1271,100,0,232,225,0,7
Oaxaca,subdel,Entre 50 y 55 años,202510,837,762,75,0,173,162,0,11
Oaxaca,subdel,Entre 55 y 60 años,202510,422,396,26,0,86,80,0,6
Oaxaca,subdel,Entre 60 y 65 años,202510,268,244,24,0,60,59,0,1
Oaxaca,subdel,Entre 65 y 70 años,202510,89,81,8,0,16,14,0,2
Oaxaca,subdel,Entre 70 y 75 años,202510,31,28,3,0,1,1,0,0
Puebla,subdel,75 años y más,202510,1557,1447,110,0,37,35,0,2
Puebla,subdel,Entre 15 y 20 años,202510,597,560,37,0,16,16,0,0
Puebla,subdel,Entre 20 y 25 años,202510,7591,7041,550,0,336,326,0,10
Puebla,subdel,Entre 25 y 30 años,202510,9395,8691,704,0,710,693,0,17
Puebla,subdel,Entre 30 y 35 años,202510,8664,7979,685,0,836,806,0,30
Puebla,subdel,Entre 35 y 40 años,202510,6656,6097,559,0,818,778,0,40
Puebla,subdel,Entre 40 y 45 años,202510,5030,4632,398,0,748,722,0,26
Puebla,subdel,Entre 45 y 50 años,202510,3582,3300,282,0,587,570,0,17
Puebla,subdel,Entre 50 y 55 años,202510,2439,2243,196,0,499,487,0,12
Puebla,subdel,Entre 55 y 60 años,202510,1356,1275,81,0,292,287,0,5
Puebla,subdel,Entre 60 y 65 años,202510,681,653,28,0,111,109,0,2
Puebla,subdel,Entre 65 y 70 años,202510,237,221,16,0,32,31,0,1
Puebla,subdel,Entre 70 y 75 años,202510,73,71,2,0,10,10,0,0
Querétaro,subdel,75 años y más,202510,483,439,44,0,26,24,0,2
Querétaro,subdel,Entre 15 y 20 años,202510,426,397,29,0,10,10,0,0
Querétaro,subdel,Entre 20 y 25 años,202510,3183,2957,226,0,144,142,0,2
Querétaro,subdel,Entre 25 y 30 años,202510,3760,3395,365,0,323,302,0,21
Querétaro,subdel,Entre 30 y 35 años,202510,3356,3056,300,0,369,349,0,20
Querétaro,subdel,Entre 35 y 40 años,202510,2489,2258,231,0,323,306,0,17
Querétaro,subdel,Entre 40 y 45 años,202510,1940,1753,187,0,274,259,0,15
Querétaro,subdel,Entre 45 y 50 años,202510,1208,1114,94,0,243,230,0,13
Querétaro,subdel,Entre 50 y 55 años,202510,804,746,58,0,166,157,0,9
